text,act,scene,actscene
it was hot sizzling even at eight oclock  verona was coming to life people poured out of the houses and filled the streets while market traders set up their stalls in the grand piazza it was a good patch an excellent place to catch the business of those who lived and worked in the rich houses that lined veronas main square  the capulet mansion was one of the biggest  filled with servants and humming with activity it was an hour till breakfast and while the cooks sweated over the fires in the kitchen conjuring mouthwatering aromas of baked breads and hams the servingmen killed time as best they could  two of them  hot bored and restless  stepped out into the bustle of the piazza and swaggered about among the bright colours the animal smells and the din of traders voices hoping to find some action  i can tell you gregory said sampson im ready for them just watch me let a montague so much as put a foot in the piazza and youll see how quick i am  sure gregory knew that his friends boasts just added to the hot air around them  he loved winding the fiery sampson up so he said how quick you are to run away you mean  not from the montagues retorted sampson his face twisted with scorn ill take on any of their men  or women he added ,Act 1,Scene 1,Act 1Scene 1
winking  i know thats your level said gregory but our quarrel isnt with the women why quarrel with the women this is between the men  ha sampson fancied himself quite seriously when ive dealt with the men ill take care of the women he made a rude gesture with his arm dont you worry about that  well heres your chance to show me said gregory as two young servants dressed in the red and silver uniform of the montagues came round a corner and on to the piazza  with an exaggerated flourish sampson put his hand on the hilt of his sword  right he said were on pick a fight with them ill be right behind you  thats what im afraid of said gregory  no wait the montague men were almost there be careful we mustnt put ourselves in the wrong let them be the ones to start  alright gregory screwed his face up they might as well have a bit of fun it wouldnt come to anything serious just a bit of fun ill frown as we pass them lets see what they do  good thinking said sampson and ill bite my thumb at them if they take that it will really show them up  the montague servants came closer with gregorys frowning and sampsons pointed biting of his thumb they represented a very strange and obvious spectacle which the montagues couldnt ignore  the mont,Act 1,Scene 1,Act 1Scene 1
ague servants stopped one of them a rather superior young man named abraham peered at sampson as though he were an insect he turned slowly to his companion with a query on his face his friend balthasar shrugged abraham turned back to sampson  are you biting your thumb at us he said  im biting my thumb as you can see said sampson  i can see that but are you biting your thumb at us  sampson leant over and whispered to his friend is the law on our side if i sayyes  gregory shook his head  no sampson straightened up im not biting my thumb at you  well said the montague thats alright then he knew as well as sampson what the penalty for starting a fight was peace to you then  the montagues were about to move on but the temptation was too much for sampson he couldnt let this chance pass  im definitely biting my thumb though he said  gregory forgetting the dangers in this moment of excitement stepped forward then and gave the montagues a hard look do you want to make something of it  abraham seemed to consider that for a moment then make something of ithe said calmly he turned his head and asked balthasar do we  balthasar dismissed the thought with a gesture  abraham shook his head slowly no we dont want to make anything of it  sam,Act 1,Scene 1,Act 1Scene 1
pson seeing that the montague men were about to walk on brought his face closer to abrahams and put on an even harder look because if you do he said speaking slowly im ready he stepped back leant his elbow on gregorys shoulder crossed one leg in front of the other and looked the montague servants up and down  abraham nodded signaled his friend to follow and turned to go  sampson didnt like to think that the fun was over he moved quickly to bar the montagues way i dont know who you think you are he told them ill have you know my masters just as good a man as yours is  not better though said abraham stopping again  well said sampson he knew that if he said his master was better it would be an unbearable insult there would be no going back so this was the critical moment  the four youths were in complete deadlock they stood staring at each other all of them itching to let fly when a well dressed young man emerged from one of the streets that led off the piazza  look whispered balthasar theres montagues cousin tell them our masters better  abraham had been controlling himself admirably until now but now the balance was tipped by the arrival of a montague the temptation was too great he tapped sampsons chest with his forefinger ,Act 1,Scene 1,Act 1Scene 1
theres something i have to tell you he said my masters better than yours  youre a liar sampson drew his sword come on draw if youre men  the montagues swords were already in their hands in an instant the four were fighting their rapiers reflecting the morning sunlight in sharp bright flashes  the well dressed youth was montagues cousin benvolio the last young man in verona likely to become involved in a street fight he was returning from an early morning walk when he saw the fighting servants he started running towards them  hey he shouted stop that put your swords away you dont know what youre doing  stop it he drew his own rapier and charged in among them trying to part them stop he yelled stop it  a crowd had gathered attracted by the shouting among them was the fiery nephew of capulet himself he was a restless young fellow called tybalt unlike benvolio he couldnt resist a fight the mere sight of a montague was enough to make his blood boil  hey benvolio he called fancy finding you fighting with servants why dont you pick on a man when benvolio ignored him he drew his sword and touched the young montagues shoulder with it turn he said dramatically and face your death  forget it tybalt panted benvolio he didnt take tybalt,Act 1,Scene 1,Act 1Scene 1
s frequent theatrical displays seriously at the best of times and now while he was trying to stop these hot blooded young men from fighting he wasnt in the mood for tybalts nonsense at all he shrugged the end of the young capulets sword from his shoulder  im trying to keep the peace put your sword away or use it to help me part these men  what said tybalt a sword in your hand and talking about  peace dont make me laugh i hate that word just as i hate all montagues and especially you and with that he made a lunge at benvolio forcing him to turn and defend himself  the four servants were still fighting and others had joined in more people were pouring out of the houses around the piazza and the narrow streets that led off it the fighters were trampling over stalls squashing fruit and sending chickens and piglets squawking and squealing in panic  an officer of the citys watch arrived waving his longsword above his head he shouted to the people to help him part the fighters these damned capulets he stormed these damned montagues curse them all down with the lot of em  by now the whole piazza was in turmoil some people fought while others tried to stop them wounded men squirmed in the dust and market stalls lay in ruins  capulet,Act 1,Scene 1,Act 1Scene 1
 came running on to a balcony of his house followed by his wife he still wore his nightgown whats this racket he said get me my longsword  dont be absurd said lady capulet you need a crutch more like it what would you do with a sword but capulet meant it he could see his enemy montague down in the piazza waving his sword at him taunting him  challenging him to come out and fight get me my sword he demanded  montague was shouting up at him you villain capulet come out and fight like a man lady montague was pulling him back trying to calm him down let go he yelled as she gripped his cloak even more tightly leave me alone come on capulet come on then  stop it cried lady montague i wont let you fight what do you think youre doing at your age  just as montague broke loose from his wifes grasp and was rushing to meet capulet who had answered his challenge by coming out to the piazza still in his nightgown there was the furious brassy sound of trumpets  dozens of them every citizen knew what that fanfare meant even tybalt although at an advantage in his fight with benvolio lowered his sword and turned towards the palace that dominated the piazza with its huge columns and vast porch the prince himself accompanied by scores of his c,Act 1,Scene 1,Act 1Scene 1
ourtiers and officers was hurrying down the stairs  the fanfare died away and silence spread across the piazza everyone watched as the prince strode to the fountain and stepped up on to the wall he looked around at his subjects his face was solemn his stern gaze fell on montague and capulet who stood side by side their swords still drawn he looked at them for a long time before he spoke then  this is the third time that you capulet and you montague have disturbed the tranquillity of our city and obliged the elders of verona to make peace between you he said he paused and allowed his eyes to roam over the devastation it seems it hasnt worked you are both so blighted with hatred his eyes flashed with anger so this is what im going to order if you ever disturb our streets again youll pay for it with your lives  a murmur went up among the crowd the prince had never gone this far but by the look of him he meant it he was sick and tired of this stupid feud between two of veronas wealthiest families and now he was going to do something about it at last and they all knew that he meant it  now go home all of you he ordered his subjects  wait capulet he said as capulet turned to go you will come with me and you montague come and see ,Act 1,Scene 1,Act 1Scene 1
me this afternoon ill let you know then what else ive decided now all of you go home  within five minutes the only people left were the wounded and the market traders who with varying degrees of stoicism began to put their stalls back together the injured were trying to pick themselves up if they didnt hurry the princes guards would begin rounding them up  benvolio walked to the montague house with his uncle and aunt fortunately he wasnt hurt although his thoughts about tybalt were not the most generous  what happened said montague were you there when it started  benvolio explained about the servants and about the way tybalt had attacked him  how tybalts sword had whistled round his head so that there was no way he could have ignored it  lady montague wasnt interested in how it had started all she felt was relief at knowing her son hadnt been involved where is he she said have you seen him today  who  romeo have you seen him  benvolio smiled i think hes avoiding me i couldnt sleep last night and i got up early before dawn i went for a walk  to the sycamore grove on the outskirts of the city  he pointed down the alley that ran along the side of montagues house and he was there i called to him but as soon as he heard me he di,Act 1,Scene 1,Act 1Scene 1
ved into the woods he didnt want to talk to me well i had my own problems so i dropped it  hmm said montague ive heard that he often goes there before dawn they tell me he does a lot of crying and as soon as the sun comes up he hurries home goes to his room and closes the shutters somethings definitely wrong  have you any idea why hes acting so strangely said benvolio  not the slightest said montague he hasnt said anything to me  have you asked him  i have and ive got others to as well hes become very secretive how can i help him if he wont say anything  as they were going in benvolio caught sight of romeo coming up the street  there he is he said go in ill wait for him im determined to get to the bottom of this  bless you said his aunt  come on said her husband good luck benvolio  benvolio strolled slowly down the street hi he said as he got near to romeo  he bent his head and tried to catch his cousins eye good morning  romeo pretended not to see him benvolio bent his head even further and looked right up into his cousins lowered eyes so that romeo couldnt ignore him any longer  good morning said benvolio  romeo sighed a long deep mournful sigh is the day so young  only just gone nine  oh dear said romeo he sighed again h,Act 1,Scene 1,Act 1Scene 1
